Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Price per week
DAY CARE CENTER,376600138,TAPROOT MONTESSORI PRESCHOOL,"TAPROOT, INC. CEO: ANN BARBER KATZENMEYER","HALL, NICOLE",(619) 444-0131,1431 E. BROADWAY,EL CAJON,CA,92021,SAN DIEGO,51,60,LICENSED,5/12/1995,,
DAY CARE CENTER,376600137,TAPROOT MONTESSORI PRESCHOOL- LA MESA,"TAPROOT INC., CEO: ANN BARBER KATZENMEYER",KARLA UVINA,(619) 698-2903,5173 GUAVA AVENUE,LA MESA,CA,91941,SAN DIEGO,20,34,LICENSED,4/26/1995,,
DAY CARE CENTER,376600118,TAPROOT MONTESSORI PRESCHOOL-JAMUL,"TAPROOT INC., CEO:ANN KATZENMEYER","MAHER, ELVIA",(619) 669-3944,13801 HWY 94,JAMUAL,CA,91935,SAN DIEGO,20,50,LICENSED,4/17/1995,,
DAY CARE CENTER,304270112,TARA HILL MONTESSORI SCHOOL,"TARA HILL MONTESSORI, INC.","PERERA, RUSHANA",(714) 774-4520,2130 WEST CRESCENT AVE. STE. C,ANAHEIM,CA,92801,ORANGE,6,52,CLOSED,3/31/1995,6/15/2015,
DAY CARE CENTER,444412713,TARA REDWOOD SCHOOL,TARA REDWOOD SCHOOL,RHONA BEAULIEU,(831) 462-9632,"5810 PRESCOTT ROAD, #B",SOQUEL,CA,95073,SANTA CRUZ,7,30,LICENSED,10/19/2012,,
DAY CARE CENTER,73405611,TASSAJARA LEARNING CENTER,"FIRST FRIENDS PRESCHOOLS, LLC",LYNN BANDUCCI,(925) 648-8600,1899 CASABLANCA STREET,DANVILLE,CA,94506,CONTRA COSTA,2,127,LICENSED,1/5/2007,,
DAY CARE CENTER,483007854,TATER TOTS CHRISTIAN PRESCHOOL,FIRST UNITED PENTECOSTAL CHURCH OF SUISUN,"ALVAREZ, CHELSEA",(707) 422-3414,2605 CLAY BANK ROAD,FAIRFIELD,CA,94533,SOLANO,1,104,LICENSED,12/17/2009,,
DAY CARE CENTER,493005379,TAYLOR CHILDREN'S PRESCHOOL,"TAYLOR, RENEE LYNN","TAYLOR, RENEE LYNN",(707) 823-1110,546 N. MAIN STREET,SEBASTOPOL,CA,95472,SONOMA,1,24,LICENSED,4/15/2004,,
DAY CARE CENTER,393607743,TAYLOR ELEMENTARY SCHOOL HEAD START,HEAD START CHILD DEVELOPMENT,"SANCHEZ, OLIVIA",(209) 466-6195,1101 LEVER BLVD.,STOCKTON,CA,95206,SAN JOAQUIN,53,24,CLOSED,3/1/2002,6/30/2015,
DAY CARE CENTER,390317674,TAYLOR SCHOOL,STOCKTON UNIFIED SCHOOL DISTRICT,M. IVY/T. SEABORN,(209) 933-7290,1101 LEVER BLVD.,STOCKTON,CA,95206,SAN JOAQUIN,53,48,LICENSED,9/1/1992,,
DAY CARE CENTER,191800668,TAYLOR TOT PLAYHOUSE,MARVA ANDREWS,MARVA ANDREWS,(323) 936-3543,1364 SOUTH COCHRAN,LOS ANGELES,CA,90019,LOS ANGELES,30,75,LICENSED,9/10/1993,,
DAY CARE CENTER,543808789,TCSD/ALPINE VISTA TITLE ONE PRESCHOOL,TULARE CITY SCHOOL DISTRICT,"MARTINDALE, TERRI",(559) 685-7200,2975 E ALPINE AVE,TULARE,CA,93274,TULARE,4,20,LICENSED,8/8/2013,,
DAY CARE CENTER,197419047,TEACH-LOVE CONNECT CHRISTIAN PRESCHOOL LLC,"MONAHAN, CHERIE AND JOHN","MONAHAN, CHERIE",(310) 891-2873,2427 PACIFIC COAST HIGHWAY,LOMITA,CA,90717,LOS ANGELES,30,60,LICENSED,9/27/2013,,
DAY CARE CENTER,304371084,TEACHABLE MOMENTS CHILDREN'S CENTER,"LE, AMY","LE, AMY",(714) 383-5999,6900 W. GARDEN GROVE BLVD.,WESTMINSTER,CA,92683,ORANGE,6,30,LICENSED,2/5/2016,,
DAY CARE CENTER,125400495,TEACHER'S PET SCHOOL,"VITALE, KATHLEEN","VITALE, KATHLEEN A.",(707) 442-4877,2719 DOLBEER STREET,EUREKA,CA,95501,HUMBOLDT,13,47,LICENSED,7/12/1995,,
DAY CARE CENTER,384002348,TEACHING TOTS PRESCHOOL,"ZHANG, XIAO RONG & ARSENIO, MELINDA O.",MELINDA ARSENIO/XIAO ZHANG,(415) 731-9705,939 IRVING STREET,SAN FRANCISCO,CA,94122,SAN FRANCISCO,5,24,CLOSED,9/11/2013,12/2/2015,
DAY CARE CENTER,384002677,"TEACHING TOTS PRESCHOOL, INC.","TEACHING TOTS PRESCHOOL, INC.","ARSENIO, M. & ZHANG, X.",(415) 731-9705,939 IRVING STREET,SAN FRANCISCO,CA,94122,SAN FRANCISCO,5,30,LICENSED,12/2/2015,,
DAY CARE CENTER,376701279,TEAGEN'S PLAYHOUSE PRESCHOOL,"TEAGEN'S PLAYHOUSE PRESCHOOL, LLC",STACY JAMES,(619) 277-9000,2538 ALPINE BOULEVARD,ALPINE,CA,91901,SAN DIEGO,20,30,CLOSED,1/6/2017,2/4/2018,
DAY CARE CENTER,103808769,TEAGUE ELEMENTARY,CENTRAL UNIFIED SCHOOL DISTRICT,"MORENO, DIEGO",(559) 276-5260,4725 N. POLK,FRESNO,CA,93722,FRESNO,4,16,LICENSED,1/7/2013,,
DAY CARE CENTER,393622103,TEAM CHARTER BIANCHI PRESCHOOL,TRANSFORMATIONAL EDUCATION INC.,"ZAMANI-AHMAD, NURSABA",(209) 941-9100,1016 EAST BIANCHI ROAD,STOCKTON,CA,95210,SAN JOAQUIN,53,24,LICENSED,3/5/2018,,
DAY CARE CENTER,393621963,TEAM CHARTER SCHOOL,TEAM CHARTER ELEMENTARY SCHOOL,"VALLEJO, DEBORAH",(209) 462-2282,600 E MAIN STREET,STOCKTON,CA,95202,SAN JOAQUIN,53,30,LICENSED,8/17/2017,,
DAY CARE CENTER,191220114,TEDDY BEAR PRE-SCHOOL AND KINDERGARTEN,"ORLANDI, NAN, HYO SCHICK & BEN IN-HWAN",NAN ORLANDI,(818) 846-7837,906 MAIN STREET,BURBANK,CA,91506,LOS ANGELES,30,52,LICENSED,3/24/1987,,
DAY CARE CENTER,274403544,TEDDY BEAR PRESCHOOL,"LAMARQUE, JANA","VALLAIRE, KAREN",(831) 643-2273,1291 FOURTH STREET,MONTEREY,CA,93940,MONTEREY,7,44,LICENSED,5/18/1999,,
DAY CARE CENTER,360911070,TEDDY BEAR TYMES #2,"TEDDY BEAR TYMES CHILD CARE CENTERS, INC",LINDA DREW,(909) 387-0550,"900 E. GILBERT STREET, BLDG #8",SAN BERNARDINO,CA,92404,SAN BERNARDINO,12,60,LICENSED,6/8/1992,,
DAY CARE CENTER,191228014,TEDDY BEAR UNIVERSITY - PRESCHOOL,INDIA SACHS,"SACHS, INDIA",(661) 297-2837,28200 BOUQUET CANYON,SAUGUS,CA,91350,LOS ANGELES,12,55,CLOSED,7/19/1994,7/31/2019,
DAY CARE CENTER,73404484,TEDDY BEARS CHILDREN CENTER,CAITLYN KYLIE INC.,VENKETSWARI ARUMUGAM,(925) 838-4148,210 PORTER DRIV SUITE 110,SAN RAMON,CA,94583,CONTRA COSTA,52,84,LICENSED,4/27/2004,,
DAY CARE CENTER,150407506,TEHACHAPI CHILD DEVELOPMENT CENTER,COMMUNITY ACTION PARTNERSHIP OF KERN,"WILLEY, AMY",(661) 822-5535,1120 S. CURRY ST.,TEHACHAPI,CA,93561,KERN,12,27,LICENSED,4/23/1993,,
DAY CARE CENTER,521370103,TEHAMA CENTER,"NORTHERN CALIFORNIA CHILD DEVELOPMENT, INC.","WILLIAMS, TRISHA",(530) 529-1500,650 3RD STREET,TEHAMA,CA,96090,TEHAMA,13,44,LICENSED,11/17/1982,,
DAY CARE CENTER,111374349,TEHAMA STREET CHILDREN'S CENTER-EXTENDED DAY,GLENN COUNTY OFFICE OF EDUCATION,"CASTREJON, MARIA",(530) 934-6617,545 N. TEHAMA STREET,WILLOWS,CA,95988,GLENN,13,30,LICENSED,11/1/1992,,
DAY CARE CENTER,73406848,TEHIYAH BRIDGE-K,TEHIYAH BRIDGE-K,"DANEK, SUSAN",(510) 233-3331,6305 BARRETT AVENUE,EL CERRITO,CA,94530,CONTRA COSTA,2,30,CLOSED,6/3/2010,6/25/2018,
DAY CARE CENTER,380504793,TELEGRAPH HILL NURSERY SCHOOLS,TELEGRAPH HILL NEIGHBORHOOD ASSOCIATION,"LUU, CONNIE",(415) 421-6443,660 LOMBARD STREET,SAN FRANCISCO,CA,94133,SAN FRANCISCO,5,87,LICENSED,11/28/1982,,
DAY CARE CENTER,384002961,TELEGRAPH HILL PARENT PARTICIPATION NURSERY,TELEGRAPH HILL PARENT PARTICIPATION NURSERY SCHOOL,"THRUPP, MARGARET",(415) 359-0193,1401 BROADWAY,SAN FRANCISCO,CA,94109,SAN FRANCISCO,5,28,LICENSED,8/18/2017,,
DAY CARE CENTER,384002580,TELEGRAPH HILL PARENT PARTICIPATION NURSERY SCHOOL,"LOMBARDI, MELANIE",MARGARET THRUPP,(415) 421-3313,922 JACKSON STREET,SAN FRANCISCO,CA,94133,SAN FRANCISCO,5,30,CLOSED,11/24/2014,8/21/2017,
DAY CARE CENTER,191890473,TELFAIR AVENUE EARLY EDUCATION CENTER,LAUSD/EARLY CHILDHOOD EDUCATION,"TAYLOR-HARDY, SHEILA",(818) 896-2118,10915 TELFAIR AVE.,PACOIMA,CA,91331,LOS ANGELES,30,72,LICENSED,11/3/1987,,
DAY CARE CENTER,198011041,TELSTAR MONTESSORI CHILD CARE CENTER,K-STEP MONTESSORI INC.,ANA B VILLALPANDO,(626) 569-2640,9320 TELSTAR AVENUE,EL MONTE,CA,91731,LOS ANGELES,33,62,LICENSED,1/21/2005,,
DAY CARE CENTER,334812486,TEMECULA MONTESSORI ACADEMY,PPSN CORPORATION,MELINDA SONES,(951) 676-6464,27635 JEFFERSON AVENUE,TEMECULA,CA,92590,RIVERSIDE,10,60,LICENSED,3/7/2003,,
DAY CARE CENTER,334802521,"TEMECULA PLAY & LEARN SCHOOL, INC.","TEMECULA PLAY AND LEARN SCHOOL, INC.",ANDREA BORRELL,(951) 693-0381,42690 MARGARITA ROAD,TEMECULA,CA,92592,RIVERSIDE,10,24,LICENSED,3/11/1996,,
DAY CARE CENTER,566215709,TEMPLE ADAT ELOHIM,REFORM TEMPLE OF CONEJO VALLEY CORPORATION,DEBBY POWELL,(805) 404-5621,1101 PEPPERTREE LN,SIMI VALLEY,CA,93064,VENTURA,17,105,CLOSED,11/27/2018,12/13/2018,
DAY CARE CENTER,561701544,TEMPLE ADAT ELOHIM PRESCHOOL,"REFORM TEMPLE OF THE CONEJO VALLEY CORP., THE",DONNA BECKER,(805) 497-6920,2420 E. HILLCREST DRIVE,THOUSAND OAKS,CA,91360,VENTURA,17,124,LICENSED,7/16/1994,,
DAY CARE CENTER,372005909,TEMPLE ADAT SHALOM-GANON GIL PRESCHOOL,TEMPLE ADAT SHALOM,MARILYN MILNE,(858) 451-6558,15905 POMERADO ROAD,POWAY,CA,92064,SAN DIEGO,51,45,LICENSED,11/10/1988,,
DAY CARE CENTER,191202127,TEMPLE AHAVAT SHALOM EARLY CHILDHOOD EDUCATION CT.,TEMPLE AHAVAT SHALOM,TESSA CRAMER,(818) 360-5183,18200 RINALDI PLACE,NORTHRIDGE,CA,91326,LOS ANGELES,12,72,LICENSED,8/18/1993,,
DAY CARE CENTER,191603520,TEMPLE AKIBA OF CULVER CITY,TEMPLE AKIBA OF CULVER CITY,"BISHOFF, RANDEE",(310) 398-5783,5249 S. SEPULVEDA BLVD.,CULVER CITY,CA,90230,LOS ANGELES,30,90,LICENSED,9/6/1993,,
DAY CARE CENTER,191202129,TEMPLE ALIYAH,TEMPLE ALIYAH,ANDREA SEGALL,(818) 346-1552,6025 VALLEY CIRCLE BLVD.,WOODLAND HILLS,CA,91367,LOS ANGELES,30,218,LICENSED,6/4/1994,,
DAY CARE CENTER,191290751,TEMPLE B'NAI HAYIM NURSERY SCHOOL,TEMPLE B' NAI HAYIM,LILY GARCIA,(818) 788-4664,4276 VAN NUYS,SHERMAN OAKS,CA,91403,LOS ANGELES,30,42,LICENSED,2/25/1994,,
DAY CARE CENTER,300603987,TEMPLE BAT YAHM,TEMPLE BAT YAHM,"GRAMLING, LAURA",(949) 644-6563,1011 CAMELBACK ST,NEWPORT BEACH,CA,92660,ORANGE,6,100,LICENSED,10/4/1982,,
DAY CARE CENTER,191600675,TEMPLE BETH AM NURSERY SCHOOL,TEMPLE BETH AM,"BASS, ANGIE",(310) 652-7353,1039 S LA CIENEGA,LOS ANGELES,CA,90035,LOS ANGELES,30,134,LICENSED,7/24/1994,,
DAY CARE CENTER,300601652,TEMPLE BETH DAVID PRE SCHOOL,TEMPLE BETH DAVID,BROOKE MASTROLUCA,(714) 893-3091,6100 HEFLEY ST,WESTMINSTER,CA,92683,ORANGE,6,63,LICENSED,9/12/1975,,
DAY CARE CENTER,330900842,TEMPLE BETH EL CHILD DEVELOPMENT CENTER,RIVERSIDE TEMPLE BETH EL (RTBE),TRUDY OLIVER,(951) 682-7282,2675 CENTRAL AVENUE,RIVERSIDE,CA,92506,RIVERSIDE,9,140,LICENSED,2/24/1994,,
DAY CARE CENTER,198018400,TEMPLE BETH EMET EARLY CHILDHOOD CENTER,TEMPLE BETH EMET.,"ROSENFIELD, ELAINE",(818) 861-7660,600 N. BUENA VISTA ST.,BURBANK,CA,91505,LOS ANGELES,30,33,LICENSED,12/14/2015,,
DAY CARE CENTER,191202133,TEMPLE BETH HILLEL NURSERY SCHOOL,TEMPLE BETH HILLEL,CLAUDINE DOUGLAS,(818) 763-9148,12326 RIVERSIDE DRIVE,NORTH HOLLYWOOD,CA,91607,LOS ANGELES,30,140,LICENSED,8/21/1993,,
DAY CARE CENTER,191594012,TEMPLE BETH ISRAEL PRESCHOOL,TEMPLE BETH ISRAEL,"PRUITT, DEBORAH BRIN",(909) 626-6937,3033 N. TOWNE AVE.,POMONA,CA,91767,LOS ANGELES,33,80,LICENSED,9/19/1988,,
DAY CARE CENTER,414001391,TEMPLE BETH JACOB PRESCHOOL,TEMPLE BETH JACOB AND IRVING LEVIN JEWISH CENTER,"CAUTERUCCI, ANN",(650) 366-8481,1550 ALAMEDA DE LAS PULGAS,REDWOOD CITY,CA,94061,SAN MATEO,5,44,LICENSED,8/29/2002,,
DAY CARE CENTER,300600959,TEMPLE BETH SHOLOM CHILDREN'S LEARNING CENTER,TEMPLE BETH SHOLOM OF ORANGE COUNTY,"LEVIN, TAMARA",(714) 628-4640,2625 N TUSTIN,SANTA ANA,CA,92705,ORANGE,6,60,LICENSED,7/15/1974,,
DAY CARE CENTER,300600077,TEMPLE BETH TIKVAH EARLY CHILDHOOD LEARNING CENTE,TEMPLE BETH TIKVAH,"WIRTZER, NATALIE",(714) 871-9555,1600 N ACACIA AVENUE,FULLERTON,CA,92831,ORANGE,6,48,LICENSED,5/17/1974,,
DAY CARE CENTER,330908443,TEMPLE CHRISTIAN SCHOOLS,TEMPLE BAPTIST CHURCH OF PERRIS,DESIRAY TAYLOR,(951) 657-7326,745 N. PERRIS BLVD.,PERRIS,CA,92571,RIVERSIDE,10,94,LICENSED,9/12/1995,,
DAY CARE CENTER,191502293,TEMPLE CITY CHRISTIAN PRESCHOOL,FIRST BAPTIST CHURCH OF TEMPLE CITY,"BURNS, CAROL",(626) 286-0042,6019 BALDWIN AVENUE,TEMPLE CITY,CA,91780,LOS ANGELES,33,54,LICENSED,4/17/1993,,
DAY CARE CENTER,384000060,TEMPLE EMANU-EL PRESCHOOL,CONGREGATION EMANU-EL,"GREENBERG, NIKA",(415) 751-2535,2 LAKE STREET,SAN FRANCISCO,CA,94118,SAN FRANCISCO,5,123,LICENSED,11/27/1995,,
DAY CARE CENTER,434404443,TEMPLE EMANU-EL PRESCHOOL,TEMPLE EMANU-EL,"SMEAD, BARBARA",(408) 293-8660,1010 UNIVERSITY AVENUE,SAN JOSE,CA,95126,SANTA CLARA,7,90,LICENSED,9/1/2000,,
DAY CARE CENTER,191600677,TEMPLE EMANUEL,"EMANUEL CENTER, INC","KESNER, STACY",(213) 276-9776,300 NORTH CLARK DRIVE,BEVERLY HILLS,CA,90211,LOS ANGELES,30,60,LICENSED,7/29/1993,,
DAY CARE CENTER,561708073,TEMPLE ETZ CHAIM PRESCHOOL,TEMPLE ETZ CHAIM,DEBBIE BLUMENTHAL,(805) 497-6852,1080 JANSS ROAD,THOUSAND OAKS,CA,91360,VENTURA,17,171,LICENSED,9/2/1995,,
DAY CARE CENTER,191600678,TEMPLE ISAIAH PRE-SCHOOL CENTER,TEMPLE ISAIAH,TAMAR ANDREWS,(310) 553-3552,10345 W PICO BLVD,LOS ANGELES,CA,90064,LOS ANGELES,30,306,LICENSED,3/19/1993,,
DAY CARE CENTER,191800679,TEMPLE ISRAEL OF HOLLYWOOD NURSERY SCHOOL,TEMPLE ISRAEL OF HOLLYWOOD,"LICHTER MERET, JESSY",(323) 876-8330,7300 HOLLYWOOD BOULEVARD,LOS ANGELES,CA,90046,LOS ANGELES,30,146,LICENSED,7/15/1994,,
DAY CARE CENTER,191203310,TEMPLE JUDEA NURSERY SCHOOL,TEMPLE JUDEA NURSERY SCHOOL,"WHITMAN, LISA SUSAN",(818) 342-3840,5429 LINDLEY AVENUE,TARZANA,CA,91356,LOS ANGELES,30,175,LICENSED,2/4/1993,,
DAY CARE CENTER,364841268,TEMPLE LEARNING CENTER,TEMPLE MISSIONARY BAPTIST CHURCH,"DAVIS, LINDA",(909) 885-4695,1583 UNION STREET,SAN BERNARDINO,CA,92411,SAN BERNARDINO,9,30,LICENSED,3/19/2012,,
DAY CARE CENTER,191202136,TEMPLE RAMAT ZION NURSERY SCHOOL,TEMPLE RAMAT ZION,"PASTERNAK, ADRIANNE",(818) 360-1881,17655 DEVONSHIRE ST,NORTHRIDGE,CA,91325,LOS ANGELES,30,161,LICENSED,11/14/1993,,
DAY CARE CENTER,13420547,TEMPLE SINAI PRESCHOOL,"FIRST HEBREW CONGREGATION OF OAKLAND, THE","LEFKOWITZ, ELLEN",(510) 451-3263,2808 SUMMIT ST.,OAKLAND,CA,94609,ALAMEDA,2,124,LICENSED,7/23/2010,,
DAY CARE CENTER,334812299,TEMPLE SINAI/TIKVAH NURSERY SCHOOL,TEMPLE SINAI,JACQUELYNE LEANY,(760) 568-9699,73-251 HOVLEY LANE WEST,PALM DESERT,CA,92260,RIVERSIDE,9,60,CLOSED,1/6/2003,6/10/2019,
DAY CARE CENTER,376700067,TEMPLE SOLEL EARLY CHILDHOOD CENTER,"TEMPLE SOLEL OF NORTHERN SAN DIEGO COUNTY, INC.",LESLIE SCHECK,(760) 944-1285,3575 MANCHESTER AVENUE,CARDIFF,CA,92007,SAN DIEGO,51,192,LICENSED,9/12/2005,,
DAY CARE CENTER,406213509,TEMPLETON YOUTH CENTER PRESCHOOL,TEMPLETON COMMUNITY SERVICES DISTRICT,WENDY RASMUSSEN,(805) 434-4909,599 SOUTH MAIN STREET,TEMPLETON,CA,93465,SAN LUIS OBISPO,17,30,LICENSED,1/7/2011,,
DAY CARE CENTER,414001219,TEMPORARY TOT TENDING,TEMPORARY TOT TENDING,"DADO, AMELIA",(650) 355-1312,"411 OCEANA BLVD., ROOM F2",PACIFICA,CA,94044,SAN MATEO,5,21,LICENSED,9/4/2001,,
DAY CARE CENTER,414001724,TEMPORARY TOT TENDING,TEMPORARY TOT TENDING,LESLIE GRANILLO,(650) 355-5026,1283 TERRA NOVA BOULEVARD,PACIFICA,CA,94044,SAN MATEO,5,21,LICENSED,8/6/2004,,
DAY CARE CENTER,410517246,TEMPORARY TOT TENDING #3,TEMPORARY TOT TENDING INC,"PASTOR, YVONNE",(650) 588-0128,350 DOLORES WAY,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,5,56,LICENSED,1/26/1989,,
DAY CARE CENTER,243810098,TENAYA HEAD START,MERCED COUNTY OF EDUCATION,ISABEL ABUNDEZ,(209) 381-5170,760 W 8TH ST,MERCED,CA,95334,MERCED,4,45,PENDING,,,
DAY CARE CENTER,191670793,TENDER CARE CHILD DEVELOPMENT CENTER,"WILDER, RAYMOND & CAROLYN",CAROLYN WILDER,(310) 671-7585,335 EAST SPRUCE AVE.,INGLEWOOD,CA,90301,LOS ANGELES,30,180,CLOSED,5/7/1999,8/25/2017,
DAY CARE CENTER,364816953,TENDER CARE FOR KIDS,"COTTONWOOD MONTESSORI, INC.",CARMEN WEBB,(909) 793-4885,525 NORTH DEARBORN STREET,REDLANDS,CA,92374,SAN BERNARDINO,9,61,LICENSED,4/4/2006,,
DAY CARE CENTER,483004405,TENDER HEARTS - PRESCHOOL,LATINA CHICHESTER,"LEMONS, SHIRLEY",(707) 747-1550,135 WARWICK DRIVE,BENICIA,CA,94510,SOLANO,1,34,LICENSED,8/12/2002,,
DAY CARE CENTER,503608404,TENDER HEARTS CHILDCARE CENTER,INTERNATIONAL CHURCH OF THE FOURSQUARE GOSPEL,"GALVAN, CONNIE",(209) 550-5930,2118 WOODLAND AVE.,MODESTO,CA,95358,STANISLAUS,4,58,LICENSED,10/1/2002,,
DAY CARE CENTER,570310353,TENDER LEARNING CARE,"HUDDLESON, JOHN & SHIRLEY","HUDDLESON, SHIRLEY A",(530) 756-5351,1818 LAKE BLVD,"DAVIS,",CA,95616,YOLO,53,83,LICENSED,8/1/1987,,
DAY CARE CENTER,393607979,TENDER LOVING CARE,SLD INCORPORATED,"VILLAGRAN, PATRICIA",(209) 836-8948,1001 CAMBRIDGE PLACE,TRACY,CA,95376,SAN JOAQUIN,53,24,LICENSED,7/18/2002,,
DAY CARE CENTER,393607972,TENDER LOVING CARE,SLD INCORPORATED,"RAMA, JENNIFER",(209) 835-9088,2324 PARKER AVE.,TRACY,CA,95376,SAN JOAQUIN,53,48,LICENSED,7/18/2002,,
DAY CARE CENTER,393612087,TENDER LOVING CARE,"SLD, INCORPORATED","BANDY, CHARLA",(209) 832-2990,1219 WHISPERING WIND DRIVE,TRACY,CA,95377,SAN JOAQUIN,53,72,LICENSED,8/14/2006,,
DAY CARE CENTER,376701194,TENDER LOVING CARE PRESCHOOL,JASMINA BOULOS,"ALY, JAMAL",(760) 489-1278,2402 EAST WASHINGTON AVE,ESCONDIDO,CA,92027,SAN DIEGO,10,30,CLOSED,,9/21/2015,
DAY CARE CENTER,372005989,TENDER LOVING CARE PRESCHOOL,JAMAL ELIAS ALY,JAMAL E. ALY,(760) 489-1278,2402 E. WASHINGTON AVENUE,ESCONDIDO,CA,92027,SAN DIEGO,10,30,LICENSED,12/12/1988,,
DAY CARE CENTER,376300105,TENDER LOVING CARE PRESCHOOL,LENA WU,LENA WU,(760) 504-2988,2402 E WASHINGTON AVE,ESCONDIDO,CA,92027,SAN DIEGO,10,30,PENDING,,,
DAY CARE CENTER,503808274,TENDER YEARS PRESCHOOL,"TENDER YEARS PRESCHOOL, A CALIFORNIA CORPORATION","DOSS, NANCY",(209) 545-5500,4718 BROADWAY AVE,SALIDA,CA,95368,STANISLAUS,4,40,LICENSED,1/11/2006,,
DAY CARE CENTER,384000793,TEREMOK,"RUSSIAN CENTER OF SAN FRANCISCO, INC.","FLORYA, IRINA",(415) 441-3866,2460 SUTTER STREET,SAN FRANCISCO,CA,94115,SAN FRANCISCO,5,15,LICENSED,3/15/2001,,
DAY CARE CENTER,540407106,TERRA BELLA CHILD DEVELOPMENT CENTER,TULARE COUNTY OFFICE OF EDUCATION,"ANDALON, SANDRA",(559) 535-2223,9364 ROAD 238,TERRA BELLA,CA,93270,TULARE,4,49,CLOSED,8/24/1992,5/2/2018,
DAY CARE CENTER,214005471,TERRA MANDARIN PRESCHOOL,TERRA MANDARIN PRESCHOOL LLC,"XA, WENDY",(415) 505-3158,70 LOMITA DRIVE,MILL VALLEY,CA,94941,MARIN,5,56,LICENSED,10/31/2019,,
DAY CARE CENTER,410503986,TERRA NOVA CHRISTIAN PRESCHOOL,ST. ANDREW PRESBYTERIAN & VISTA DEL MAR BAPT. CHS.,DANYEL CHEATHON,(650) 355-2962,1125 TERRA NOVA BLVD.,PACIFICA,CA,94044,SAN MATEO,5,59,LICENSED,1/2/1982,,
DAY CARE CENTER,150407316,TERRACE PRESCHOOL,DELANO UNION SCHOOL DISTRICT,ALVIN D. HENNESSEE,(661) 721-5000,1999 NORWALK STREET,DELANO,CA,93215,KERN,4,27,LICENSED,2/9/1993,,
DAY CARE CENTER,293620212,TERRENCE K. MCATEER CENTER,NEVADA COUNTY SUPERINTENDENT OF SCHOOLS,"BEST, MORGAN",(530) 478-6400,400 HOOVER LANE,NEVADA CITY,CA,95959,NEVADA,3,27,LICENSED,11/3/2014,,
DAY CARE CENTER,444400083,TERRY JIMENEZ CHILDREN'S CENTER,ENCOMPASS COMMUNITY SERVICES,L GONZALEZ/E MARIN,(831) 713-7427,201 BREWINGTON AVENUE,WATSONVILLE,CA,95076,SANTA CRUZ,7,34,LICENSED,11/9/1994,,
DAY CARE CENTER,197412467,TESORO DEL VALLE FUN FOR FOURS,SAUGUS UNION SCHOOL DISTRICT,"REYNOLDS, ANGELA",(661) 294-5381,29171 N. BERNARDO WAY,SANTA CLARITA,CA,91354,LOS ANGELES,12,30,LICENSED,11/4/2005,,
DAY CARE CENTER,197410309,TESTIMONIAL COMMUNITY LOVE CENTER,TESTIMONIAL COMMUNITY LOVE CENTER,ANGELA SANCHEZ,(323) 299-9584,5615 S. WESTERN,LOS ANGELES,CA,90062,LOS ANGELES,30,41,CLOSED,1/12/2004,8/29/2016,
DAY CARE CENTER,343605845,THEODORE JUDAH,FOLSOM CORDOVA UNIFIED SCHOOL DISTRICT,"BARGER, SABRINA",(916) 983-4469,101 DEAN WAY ROOM #19,FOLSOM,CA,95630,SACRAMENTO,3,30,LICENSED,8/31/2000,,
DAY CARE CENTER,393620051,THEORY OF PLAY CHILD DEVELOPMENT CENTER,"HANSEN, ANGEL","HANSEN, ANGEL & LAMSON, TE",(209) 597-5705,2105 N TRACY BLVD,TRACY,CA,95376,SAN JOAQUIN,53,43,CLOSED,10/15/2014,3/20/2019,
DAY CARE CENTER,197419444,THERAPEUTIC LIVING CENTERS FOR THE BLIND,THERAPEUTIC LIVING CENTERS FOR THE BLIND,"MCCAULEY, CYNDI",(818) 708-4948,7915 LINDLEY AVENUE,RESEDA,CA,91335,LOS ANGELES,30,48,CLOSED,7/17/2014,7/24/2019,
DAY CARE CENTER,13418179,THERAPEUTIC NURSERY SCHOOL - EBAC,EAST BAY AGENCY FOR CHILDREN,KAMEELAH DAVIS,(510) 655-4896,6117 MARTIN LUTHER KING JR. WY,OAKLAND,CA,94609,ALAMEDA,2,21,LICENSED,5/4/2006,,
DAY CARE CENTER,197415232,THERESA HUGHES ELEMENTARY SCHOOL,LAUSD/EARLY CHILDHOOD EDUCATION,"GARCIA, JORGE",(323) 560-4422,"4242 CLARA STREET, K-4",CUDAHAY,CA,90201,LOS ANGELES,54,24,LICENSED,6/30/2008,,
DAY CARE CENTER,153801852,THERESE M. HALL CHILDREN'S CENTER,DESERT AREA RESOURCES AND TRAINING,CRISTINE BRIDGES,(760) 375-8494,216 N. GOLD CANYON,RIDGECREST,CA,93555,KERN,12,25,LICENSED,12/21/2001,,
DAY CARE CENTER,304371146,THINK TOGETHER EARLY LEARNING PROGRAM-WHITAKER,THINK TOGETHER,"ALVA, TIFFANY",(714) 521-8568,8401 MONTANA AVENUE,BUENA PARK,CA,90621,ORANGE,6,17,LICENSED,2/16/2017,,
